Abbott | abbots
bidet | bides
biding | aiding
bids | aids
bikes | biker
bile | bike
bile's | bike's
bill | bilk
billed | bilked
billing | bilking
bills | bilks
blames | blamer
blasphemes | blasphemer
blazes | blazer
bleaches | bleacher
blest | bless
blight | alight
blighted | alighted
blighting | alighting
blights | alights
bloc | blob
bloc's | blob's
blocs | blobs
blondes | blonder
blood | blond
blood's | blond's
bloodies | bloodier
bloods | blonds
blues | bluer
blur's | blurts
blurt | blurs
blushes | blusher
boa's | boats
boas | boar
boat | boas
bob | boa
bob's | boa's
bobs | boas
bole | bold
bone | bond
bone's | bond's
bones | bonds
bones | boner
boo's | boots
booed | boned
booing | boning
boon | boom
boon's | boom's
boons | booms
boos | boor
boot | boos
bootee | booted
boozes | boozer
bop | boo
bop's | boo's
bops | boos
bores | borer
both | bosh
bought | boughs
bounces | bouncer
bounded | bounced
bounder | bouncer
bounder's | bouncer's
bounders | bouncers
bounding | bouncing
box | bow
box's | bow's
boxed | bowed
boxer | bower
boxer's | bower's
boxers | bowers
boxes | boxer
boxing | bowing
boy | box
boy's | box's
bra's | brats
brat | bras
brats | brass
braves | braver
breathes | breather
bright | aright
brittle | bristle
brittle's | bristle's
browses | browser
bruises | bruiser
buckles | buckler
budget | budges
buggies | buggier
bugles | bugler
bull | bulk
bull's | bulk's
bulldozes | bulldozer
bulled | bulked
bulling | bulking
bulls | bulks
bully | bulky
bumbles | bumbler
bun | bum
bun's | bum's
bun's | bunts
bungles | bungler
buns | bums
bunt | aunt
bunt | buns
bunt's | aunt's
bunts | aunts
burnout | burnous
burnout's | burnous's
burnt | burns
burs | burr
bus | bur
bus's | bur's
bus's | busts
busied | buried
busied | bushed
busies | buries
busies | bushes
busies | busier
buss | burs
bust | buss
bust's | buss's
busted | bussed
busting | bussing
busy | bury
busying | burying
but | bus
butches | butcher
buts | buss
butt | bust
butt | buts
butt's | bust's
butted | busted
butter | buster
butter's | buster's
butteries | butterier
butters | busters
buttes | butter
butting | busting
butts | busts
buzzes | buzzer
by | ay
by's | ay's
bye | aye
bye's | aye's
byes | ayes
bypast | bypass
cache's | cachets
cachet | caches
cad | bad
cad's | bad's
cadge | badge
cadger | badger
cadger's | badger's
cadgers | badgers
cadges | badges
cadges | cadger
cake | bake
cake's | bake's
caked | baked
cakes | bakes
caking | baking
calk | balk
calk's | balk's
calked | balked
calking | balking
calks | balks
call | ball
call | calk
call's | ball's
call's | calk's
called | balled
called | calked
calling | balling
calling | calking
calling's | calking's
callings | calkings
calls | balls
calls | calks
calm | balm
calm | call
